NULL,10300,29530,39830,29530,39830,NULL,KS
NULL,9480,34290,43770,34290,43770,NULL,IL
NULL,12400,18690,31090,18690,31090,NULL,MA
NULL,8114,18513,26627,18513,26627,NULL,NC
NULL,15610,54360,69970,54360,69970,NULL,VT
NULL,16320,49880,66200,49880,66200,NULL,MA
NULL,6764,39990,46754,39990,46754,NULL,KY
NULL,NA,5610,5610,10650,10650,NULL,NJ
NULL,NA,9450,9450,9450,9450,NULL,CA
NULL,NA,1432,1432,9622,9622,NULL,CA
NULL,18180,42750,60930,42750,60930,NULL,MA
NULL,NA,8569,8569,15589,15589,NULL,MA
NULL,12770,36556,49326,36556,49326,NULL,GA
NULL,NA,11750,11750,11750,11750,NULL,NY
NULL,4172,21388,25560,21388,25560,NULL,NJ
NULL,10605,28475,39080,28475,39080,NULL,KS
NULL,10580,29773,40353,29773,40353,NULL,WV
NULL,8100,27650,35750,27650,35750,NULL,MN
NULL,9000,28590,37590,28590,37590,NULL,IN
NULL,8850,28780,37630,28780,37630,NULL,KS
NULL,9198,16552,25750,16552,25750,NULL,TN
NULL,10520,37300,47820,37300,47820,NULL,MN
NULL,NA,8350,8350,8350,8350,NULL,CA
NULL,9412,14814,24226,14814,24226,NULL,FL
NULL,6000,9880,15880,9880,15880,NULL,GA
NULL,NA,31060,31060,31060,31060,NULL,CA
NULL,1300,4770,6070,8640,9940,NULL,AL
NULL,3537,4272,7809,9703,13240,NULL,WA
