NULL,Calumet College of St. Joseph,Private,4 Year,IN
NULL,Calvary University,Private,4 Year,MO
NULL,Calvin College,Private,4 Year,MI
NULL,Cambridge College,Private,4 Year,MA
NULL,Camden County College,Public,2 Year,NJ
NULL,Cameron University,Public,4 Year,OK
NULL,Campbell University,Private,4 Year,NC
NULL,Campbellsville University,Private,4 Year,KY
NULL,Canada College,Public,2 Year,CA
NULL,Canisius College,Private,4 Year,NY
NULL,Cankdeska Cikana Community College,Public,2 Year,ND
NULL,Cape Cod Community College,Public,2 Year,MA
NULL,Cape Fear Community College,Public,2 Year,NC
NULL,Capella University,For Profit,4 Year,MN
NULL,Capital Community College,Public,2 Year,CT
NULL,Capital University,Private,4 Year,OH
NULL,Capitol Technology University,Private,4 Year,MD
NULL,Cardinal Stritch University,Private,4 Year,WI
NULL,Career College of Northern Nevada,For Profit,2 Year,NV
NULL,Careers Unlimited,For Profit,2 Year,UT
NULL,Caribbean University,Private,4 Year,PR
NULL,Carl Albert State College,Public,2 Year,OK
NULL,Carl Sandburg College,Public,2 Year,IL
NULL,Carleton College,Private,4 Year,MN
NULL,Carlos Albizu University,Private,4 Year,FL
NULL,Carlos Albizu University: San Juan,Private,4 Year,PR
NULL,Carlow University,Private,4 Year,PA
NULL,Carnegie Mellon University,Private,4 Year,PA
NULL,Carolina Christian College,Private,4 Year,NC
NULL,Carroll College,Private,4 Year,MT
NULL,Carroll Community College,Public,2 Year,MD
NULL,Carroll University,Private,4 Year,WI
NULL,Carson-Newman University,Private,4 Year,TN
NULL,Carteret Community College,Public,2 Year,NC
NULL,Carthage College,Private,4 Year,WI
NULL,Carver College,Private,4 Year,GA
NULL,Cascadia College,Public,2 Year,WA
NULL,Case Western Reserve University,Private,4 Year,OH
NULL,Casper College,Public,2 Year,WY
NULL,Castleton University,Public,4 Year,VT
NULL,Catawba College,Private,4 Year,NC
NULL,Catawba Valley Community College,Public,2 Year,NC
NULL,Catholic Distance University,Private,4 Year,WV
NULL,Catholic University of America,Private,4 Year,DC
NULL,Cayuga Community College,Public,2 Year,NY
NULL,Cazenovia College,Private,4 Year,NY
NULL,Cecil College,Public,2 Year,MD
NULL,Cedar Crest College,Private,4 Year,PA
NULL,Cedar Valley College,Public,2 Year,TX
NULL,Cedarville University,Private,4 Year,OH
NULL,Centenary College of Louisiana,Private,4 Year,LA
NULL,Centenary University,Private,4 Year,NJ
NULL,Central Alabama Community College,Public,2 Year,AL
NULL,Central Arizona College,Public,2 Year,AZ
NULL,Central Baptist College,Private,4 Year,AR
NULL,Central Carolina Community College,Public,2 Year,NC
NULL,Central Carolina Technical College,Public,2 Year,SC
NULL,Central Christian College of Kansas,Private,4 Year,KS
NULL,Central College,Private,4 Year,IA
NULL,Central Community College,Public,2 Year,NE
NULL,Central Connecticut State University,Public,4 Year,CT
NULL,Central Georgia Technical College,Public,2 Year,GA
NULL,Central Lakes College,Public,2 Year,MN
NULL,Central Maine Community College,Public,2 Year,ME
NULL,Central Methodist University,Private,4 Year,MO
NULL,Central Michigan University,Public,4 Year,MI
NULL,Central New Mexico Community College,Public,2 Year,NM
NULL,Central Ohio Technical College,Public,2 Year,OH
NULL,Central Oregon Community College,Public,2 Year,OR
NULL,Central Penn College,For Profit,4 Year,PA
NULL,Central Piedmont Community College,Public,2 Year,NC
NULL,Central State University,Public,4 Year,OH
NULL,Central Texas College,Public,2 Year,TX
NULL,Central Virginia Community College,Public,2 Year,VA
NULL,Central Washington University,Public,4 Year,WA
NULL,Central Wyoming College,Public,2 Year,WY
NULL,Central Yeshiva Tomchei Tmimim-Lubavitch,Private,4 Year,NY
NULL,Centralia College,Public,2 Year,WA
NULL,Centre College,Private,4 Year,KY
NULL,Century College,Public,2 Year,MN
NULL,Cerritos College,Public,2 Year,CA
NULL,Cerro Coso Community College,Public,2 Year,CA
NULL,Chabot College,Public,2 Year,CA
NULL,Chadron State College,Public,4 Year,NE
NULL,Chaffey College,Public,2 Year,CA
NULL,Chamberlain College Of Nursing: Tinley Park,For Profit,4 Year,IL
NULL,Chaminade University of Honolulu,Private,4 Year,HI
NULL,Champlain College,Private,4 Year,VT
NULL,Chandler-Gilbert Community College,Public,2 Year,AZ
NULL,Chapman University,Private,4 Year,CA
NULL,Charles R Drew University of Medicine and Science,Private,4 Year,CA
NULL,Charleston Southern University,Private,4 Year,SC
NULL,Charlotte Christian College and Theological Seminary,Private,4 Year,NC
NULL,Charter Oak State College,Public,4 Year,CT
NULL,Chatfield College,Private,2 Year,OH
NULL,Chatham University,Private,4 Year,PA
NULL,Chattahoochee Technical College,Public,2 Year,GA
NULL,Chattahoochee Valley Community College,Public,2 Year,AL
NULL,Chattanooga State Community College,Public,2 Year,TN
NULL,Chemeketa Community College,Public,2 Year,OR
NULL,Chesapeake College,Public,2 Year,MD
NULL,Chestnut Hill College,Private,4 Year,PA
NULL,Cheyney University of Pennsylvania,Public,4 Year,PA
NULL,Chicago State University,Public,4 Year,IL
NULL,Chief Dull Knife College,Public,2 Year,MT
NULL,Chipola College,Public,2 Year,FL
NULL,Chippewa Valley Technical College,Public,2 Year,WI
NULL,Chowan University,Private,4 Year,NC
NULL,Christendom College,Private,4 Year,VA
NULL,Christian Brothers University,Private,4 Year,TN
NULL,Christopher Newport University,Public,4 Year,VA
NULL,Cincinnati Christian University,Private,4 Year,OH
NULL,Cincinnati College of Mortuary Science,Private,2 Year,OH
NULL,Cincinnati State Technical and Community College,Public,2 Year,OH
NULL,Cisco College,Public,2 Year,TX
NULL,Citrus College,Public,2 Year,CA
NULL,City College of San Francisco,Public,2 Year,CA
NULL,City Colleges of Chicago: Harold Washington College,Public,2 Year,IL
NULL,City Colleges of Chicago: Harry S. Truman College,Public,2 Year,IL
NULL,City Colleges of Chicago: Kennedy-King College,Public,2 Year,IL
NULL,City Colleges of Chicago: Malcolm X College,Public,2 Year,IL
NULL,City Colleges of Chicago: Olive-Harvey College,Public,2 Year,IL
NULL,City Colleges of Chicago: Richard J. Daley College,Public,2 Year,IL
NULL,City Colleges of Chicago: Wilbur Wright College,Public,2 Year,IL
NULL,City University of New York: Baruch College,Public,4 Year,NY
NULL,City University of New York: Borough of Manhattan Community College,Public,2 Year,NY
NULL,City University of New York: Bronx Community College,Public,2 Year,NY
NULL,City University of New York: Brooklyn College,Public,4 Year,NY
NULL,City University of New York: City College,Public,4 Year,NY
NULL,City University of New York: College of Staten Island,Public,4 Year,NY
NULL,City University of New York: Guttman Community College,Public,2 Year,NY
NULL,City University of New York: Hostos Community College,Public,2 Year,NY
NULL,City University of New York: Hunter College,Public,4 Year,NY
NULL,City University of New York: John Jay College of Criminal Justice,Public,4 Year,NY
NULL,City University of New York: Kingsborough Community College,Public,2 Year,NY
NULL,City University of New York: LaGuardia Community College,Public,2 Year,NY
NULL,City University of New York: Lehman College,Public,4 Year,NY
NULL,City University of New York: Medgar Evers College,Public,4 Year,NY
NULL,City University of New York: New York City College of Technology,Public,4 Year,NY
NULL,City University of New York: Queens College,Public,4 Year,NY
NULL,City University of New York: Queensborough Community College,Public,2 Year,NY
NULL,City University of New York: York College,Public,4 Year,NY
NULL,Clackamas Community College,Public,2 Year,OR
NULL,Claflin University,Private,4 Year,SC
NULL,Claremont McKenna College,Private,4 Year,CA
NULL,Clarendon College,Public,2 Year,TX
NULL,Clarion University of Pennsylvania,Public,4 Year,PA
NULL,Clark Atlanta University,Private,4 Year,GA
NULL,Clark College,Public,2 Year,WA
NULL,Clark State Community College,Public,2 Year,OH
NULL,Clark University,Private,4 Year,MA
NULL,Clarke University,Private,4 Year,IA
NULL,Clarks Summit University,Private,4 Year,PA
NULL,Clarkson College,Private,4 Year,NE
NULL,Clarkson University,Private,4 Year,NY
NULL,Clatsop Community College,Public,2 Year,OR
NULL,Clayton State University,Public,4 Year,GA
NULL,Clear Creek Baptist Bible College,Private,4 Year,KY
NULL,Cleary University,Private,4 Year,MI
NULL,Clemson University,Public,4 Year,SC
NULL,Cleveland Community College,Public,2 Year,NC
NULL,Cleveland Institute of Art,Private,4 Year,OH
NULL,Cleveland Institute of Music,Private,4 Year,OH
NULL,Cleveland State Community College,Public,2 Year,TN
NULL,Cleveland State University,Public,4 Year,OH
NULL,Clinton College,Private,2 Year,SC
NULL,Clinton Community College,Public,2 Year,IA
NULL,Clinton Community College,Public,2 Year,NY
NULL,Cloud County Community College,Public,2 Year,KS
NULL,Clover Park Technical College,Public,2 Year,WA
NULL,Clovis Community College,Public,2 Year,NM
NULL,Coahoma Community College,Public,2 Year,MS
NULL,Coastal Alabama Community College,Public,2 Year,AL
NULL,Coastal Bend College,Public,2 Year,TX
NULL,Coastal Carolina Community College,Public,2 Year,NC
NULL,Coastal Carolina University,Public,4 Year,SC
NULL,Coastal Pines Technical College,Public,2 Year,GA
NULL,Coastline Community College,Public,2 Year,CA
NULL,Cochise College,Public,2 Year,AZ
NULL,Cochran School of Nursing,Private,2 Year,NY
NULL,Coconino County Community College,Public,2 Year,AZ
NULL,Coe College,Private,4 Year,IA
NULL,Coffeyville Community College,Public,2 Year,KS
NULL,Cogswell Polytechnical College,For Profit,4 Year,CA
NULL,Coker College,Private,4 Year,SC
NULL,Colby College,Private,4 Year,ME
NULL,Colby Community College,Public,2 Year,KS
NULL,Colby-Sawyer College,Private,4 Year,NH
NULL,Coleman University,Private,4 Year,CA
NULL,Colgate University,Private,4 Year,NY
NULL,College for Creative Studies,Private,4 Year,MI
NULL,College of Alameda,Public,2 Year,CA
NULL,College of Biblical Studies-Houston,Private,4 Year,TX
NULL,College of Business and Technology: Flagler,For Profit,2 Year,FL
NULL,College of Business and Technology: Hialeah,For Profit,2 Year,FL
NULL,College of Business and Technology: Miami Gardens,For Profit,2 Year,FL
